设置值,读取值,预期最大误差,实际误差,超出预期,VDD
0.000000,0.000412,0.015000,0.000412,no,3.325572
0.050000,0.052309,0.015750,0.002309,no,3.325339
0.100000,0.100038,0.016500,0.000038,no,3.326041
0.150000,0.150107,0.017250,0.000107,no,3.325339
0.200000,0.201271,0.018000,0.001271,no,3.326041
0.250000,0.250022,0.018750,0.000022,no,3.325339
0.300000,0.301009,0.019500,0.001009,no,3.325572
0.350000,0.348186,0.020250,0.001814,no,3.326042
0.400000,0.399822,0.021000,0.000178,no,3.325806
0.450000,0.447835,0.021750,0.002165,no,3.325806
0.500000,0.500124,0.022500,0.000124,no,3.325806
0.550000,0.550460,0.023250,0.000460,no,3.325572
0.600000,0.597079,0.024000,0.002921,no,3.325806
0.650000,0.647696,0.024750,0.002304,no,3.325572
0.700000,0.698035,0.025500,0.001965,no,3.325572
0.750000,0.747342,0.026250,0.002658,no,3.325806
0.800000,0.797491,0.027000,0.002509,no,3.325806
0.850000,0.848108,0.027750,0.001892,no,3.326041
0.900000,0.899092,0.028500,0.000908,no,3.325572
0.950000,0.948865,0.029250,0.001135,no,3.325572
1.000000,0.999668,0.030000,0.000332,no,3.325806
1.050000,1.049160,0.030750,0.000840,no,3.325339
1.100000,1.099231,0.031500,0.000769,no,3.325806
1.150000,1.149930,0.032250,0.000070,no,3.325806
1.200000,1.198683,0.033000,0.001317,no,3.326041
1.250000,1.249583,0.033750,0.000417,no,3.325806
1.300000,1.297978,0.034500,0.002022,no,3.325806
1.350000,1.348587,0.035250,0.001413,no,3.325806
1.400000,1.399664,0.036000,0.000336,no,3.325806
1.450000,1.449909,0.036750,0.000091,no,3.325806
1.500000,1.501913,0.037500,0.001913,no,3.325806
1.550000,1.548440,0.038250,0.001560,no,3.326511
1.600000,1.599800,0.039000,0.000200,no,3.326041
1.650000,1.649016,0.039750,0.000984,no,3.325806
1.700000,1.699346,0.040500,0.000654,no,3.326041
1.750000,1.748569,0.041250,0.001431,no,3.325806
1.800000,1.796864,0.042000,0.003136,no,3.325572
1.850000,1.848131,0.092000,0.001869,no,3.326041
1.900000,1.867828,0.142000,0.032172,no,3.326746